# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 694
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 694
DATA ascii
0.37315 -0.06092 -0.29332 -294191828323625865176850339666625298432.00000
0.37943 -0.06306 -0.29589 -294191828323625865176850339666625298432.00000
0.37593 -0.03844 -0.29708 -290230146385382998999622418861932937216.00000
0.38246 -0.04825 -0.30190 -294223022669596281445962370539103191040.00000
0.38177 -0.02465 -0.31535 -290230146385382998999622418861932937216.00000
0.38771 -0.03391 -0.31651 -294233468110542162056230703373515489280.00000
0.38253 -0.01662 -0.31703 -292899027535489107704027941869654638592.00000
0.38872 -0.00883 -0.31676 -292899027535489107704027941869654638592.00000
0.37962 0.00009 -0.30524 -292899027535489107704027941869654638592.00000
0.38805 0.00792 -0.31376 -287561265235276890295216895854211235840.00000
0.37746 0.02358 -0.29765 -276880568620403524301636697274246496256.00000
0.38403 0.02400 -0.30052 -271547998617049841720454181755132313600.00000
0.37606 0.03108 -0.29322 -290230166667792602651292842809184223232.00000
0.38340 0.03995 -0.29985 -294238680689810300535529657817095995392.00000
0.37754 0.04719 -0.30065 -288895705810329944647419657358072086528.00000
0.37565 0.05433 -0.29525 -288895705810329944647419657358072086528.00000
0.37367 0.06121 -0.28972 -292888622659362434397100456929744912384.00000
0.37892 0.07029 -0.29063 -287556032373599148164247517463379443712.00000
0.37146 0.08368 -0.28835 -290209316350720048734097025034862198784.00000
0.37773 0.07769 -0.28870 -290214488365168979910055131583940132864.00000
0.37008 0.09067 -0.28597 -290209316350720048734097025034862198784.00000
0.37450 0.10005 -0.28551 -296871073785039439884842499719754153984.00000
0.36626 0.11184 -0.28153 -291533392614465637082713149493315895296.00000
0.37091 0.11346 -0.27936 -291554202366718983696568119373135347712.00000
0.39583 -0.11829 -0.32678 -298210666092131821761332943825441652736.00000
0.39129 -0.10724 -0.32910 -292878197500826157438502548042583900160.00000
0.39769 -0.09981 -0.32512 -296865840923361697753873121328922361856.00000
0.39110 -0.08749 -0.32121 -295526228333859712225712253275983577088.00000
0.39893 -0.08128 -0.32263 -300863990634071929634523299291426979840.00000
0.39065 -0.05962 -0.31137 -300863990634071929634523299291426979840.00000
0.39952 -0.06281 -0.31927 -302198431209124983986726060795287830528.00000
0.39072 -0.05086 -0.30944 -299545147232004083416876553223805075456.00000
0.39793 -0.05277 -0.31217 -300863990634071929634523299291426979840.00000
0.39490 -0.03530 -0.31960 -298236789835701325112838987885098041344.00000
0.40189 -0.02755 -0.31967 -294233488392951765707901127320766775296.00000
0.39598 -0.00943 -0.31992 -290230146385382998999622418861932937216.00000
0.40283 -0.01885 -0.32151 -291559455510806329479207921711218425856.00000
0.39648 -0.00083 -0.32104 -298236789835701325112838987885098041344.00000
0.40116 0.00782 -0.31497 -304908952146147389570511947509899722752.00000
0.39386 0.01635 -0.31248 -295578354126541097018701797711788638208.00000
0.39810 0.02490 -0.30605 -306227775265805632136488269630270341120.00000
0.39163 0.04128 -0.30715 -296917966716043082546862665764727422976.00000
0.39736 0.04185 -0.30526 -306232926997844959660775952232096989184.00000
0.39821 0.05077 -0.30900 -306232886433025752357435104337594417152.00000
0.39440 0.05794 -0.29867 -303558833268470712477071474780794781696.00000
0.38541 0.07211 -0.29303 -286216399501687558984416225463189372928.00000
0.39197 0.06534 -0.29280 -298226384959574651805911502945188315136.00000
0.38544 0.08059 -0.29533 -288885280651793667688821748470911074304.00000
0.39082 0.08183 -0.29323 -291548969505041241565598740982303555584.00000
0.38503 0.09770 -0.29923 -292878197500826157438502548042583900160.00000
0.39753 0.11469 -0.32286 -298205514360092494237045261223615004672.00000
0.38006 0.11092 -0.28874 -291543756925773103086299786538723049472.00000
0.38300 0.11949 -0.28284 -299550400376091429199516355561888153600.00000
0.38204 0.12765 -0.28340 -291543756925773103086299786538723049472.00000
0.40208 -0.13174 -0.32978 -304893233278704559525933388390153060352.00000
0.40773 -0.13381 -0.32595 -295567746426318387195070073299366051840.00000
0.40631 -0.11470 -0.33462 -299524276632521925848010311502231764992.00000
0.40720 -0.10500 -0.33363 -294202131787704520225425704870278594560.00000
0.40601 -0.09371 -0.32665 -299545106667184876113535705329302503424.00000
0.41457 -0.08716 -0.32793 -298215817824171149285620626427268300800.00000
0.40698 -0.07463 -0.32379 -298210666092131821761332943825441652736.00000
0.41303 -0.07607 -0.32090 -294207303802153451401383811419356528640.00000
0.40534 -0.04549 -0.31265 -300884780103915672596707845223995146240.00000
0.41334 -0.05682 -0.31735 -299545066102365668810194857434799931392.00000
0.40675 -0.03694 -0.31521 -299565997549076637334072370998127099904.00000
0.41416 -0.02893 -0.31505 -299560805252218102506443840501797879808.00000
0.40631 -0.00988 -0.31095 -298236810118110928764509411832349327360.00000
0.41164 -0.01913 -0.30715 -298226405241984255457581926892439601152.00000
0.40522 -0.00094 -0.30734 -302240091278450884517776848449429307392.00000
0.40963 -0.00100 -0.30052 -308907061292038414147821277577901768704.00000
0.40408 0.01650 -0.30394 -307557003261590548009392076690550685696.00000
0.40401 0.02517 -0.30405 -308891403271824395058253990299908964352.00000
0.40323 0.04244 -0.30323 -306227694136167217529806573841265197056.00000
0.40924 0.04304 -0.30103 -310220570420380499976146525518435450880.00000
0.40010 0.05881 -0.29658 -306227673853757613878136149894013911040.00000
